Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Economic Analysis on Farmers' Professional Cooperatives in China--Evidence from CHIP 2002 Rural Household Survey. (In Chinese. With English summary.),"[; '; H; o; k; e; n; ,;  ; i; s; a; t; h; S; r; ]","Agricultural cooperatives in China, known as Farmers' Professional Cooperatives (FPCs), are becoming popular and have been intensely promoted by the Chinese government to facilitate agro-industrialization of small farmers. This paper investigates the impacts of the participation in FPCs on farm income by dividing rural households into two village groups (whether villages were designated as ""agricultural model villages"") as well as controlling endogenous bias of participation. Estimated results show that the economic impacts of the participation in agricultural model villages are much larger than those in other villages, since agricultural related services offered by FPCs in appear to be more standardized in agricultural model villages.",2016,,Economic Review (Keizai Kenkyu),67,1,Jan-16,,,,#5811,[ 2016,Exclusion reason: Full text not available; ,
Local gender contract and adaptive capacity in smallholder irrigation farming: a case study from the Kenyan drylands,"[; '; C; a; r; e; t; ,;  ; M; A; B; o; j; s; n; L; ]","This article presents the local gender contract of a smallholder irrigation farming community in Sibou, Kenya. Women's role in subsistence farming in Africa has mostly been analyzed through the lens of gender division of labor. In addition to this, we used the concept of 'local gender contract' to analyze cultural and material preconditions shaping gender-specific tasks in agricultural production, and consequently, men's and women's different strategies for adapting to climate variability. We show that the introduction of cash crops, as a trigger for negotiating women's and men's roles in the agricultural production, results in a process of gender contract renegotiation, and that families engaged in cash cropping are in the process of shifting from a 'local resource contract' to a 'household income contract.' Based on our analysis, we argue that a transformation of the local gender contract will have a direct impact on the community's adaptive capacity climate variability. It is, therefore, important to take the negotiation of local gender contracts into account in assessments of farming communities' adaptive capacity.",2015,,GENDER PLACE AND CULTURE,22,5,644-661,,10.1080/0966369X.2014.885888,,#5815,[ 2015,Exclusion reason: Does not focus on outcomes from a case study; ,
The effectiveness of contract farming for raising income of smallholder farmers in low‐ and middle‐income countries: a systematic review,"[; '; G; i; e; l;  ; T; o; n; ,; D; s; r; S; a; m; V; W; y; t; u; c; h; p; ""; H; M; j; k; ]","This Campbell systematic review examines the impact of contract farming on income and food security of smallholder farmers in low‐ and middle‐income countries. The review summarises findings from 75 reports, of which 22 (covering 26 contract farming interventions) were used for meta‐analysisContract farming may substantially increase farmer income with an average effect in the range of 23 to 54 per cent. There is upward bias in the estimate because of survivor bias in individual studies (no data on farmers who drop out of schemes) and in the body of evidence (no studies on contract farming arrangements that collapsed in their initial years), and publication bias in the literature (under‐reporting of insignificant outcomes). Therefore, some caution is needed in interpreting the findings.For farmers to give up their autonomy in marketing and prevent side‐selling, substantial income gains need to be offered. This is especially so for annual crops and when firms have contracts directly with farmers rather than through a cooperative.Poorer farmers are not usually part of contract farming schemes. In 61% of the cases, contract farmers had significantly larger landholdings or more assets than the average farmers in the region.Plain language summaryThe effectiveness of contract farming for raising income of smallholder farmers in low‐ and middle‐income countriesThe evidence suggests that contract farming arrangements need to offer clear incentives to farmers in order to survive over time.The review in briefContract farming, a sales arrangement between a farmer and a firm, is popular with government and donors. Contract farming can produce substantial income gains for farmers. Moreover, these benefits may well be required for contract farming schemes to survive. Better‐off farmers are most likely to participate in contract farming schemes.What is this review about?Contract farming is a sales arrangement agreed before production begins, which provides the farmer with resources or services. The service package provided by the firm varies per location, and can include transport, certification, input provisioning and credit.This systematic review summarises evidence on income effects for smallholders to assess average effects and explore combinations of factors that increase these effects.What studies are included?Included studies had to examine the impact of contract farming on income and food security of smallholder farmers in low‐ and middle‐income countries. Studies had to use a comparison group with appropriate statistical methods to allow for selection effects.Seventy‐five studies were identified with quantitative estimates of the impact of contract farming of which 22 studies, covering 7,471 respondents, were of sufficient rigour to include in the meta‐analysis of income effects. The meta‐analysis covers 26 empirical instances of contract farming in 13 developing countries.What is the aim of this review?This Campbell systematic review examines the impact of contract farming on income and food security of smallholder farmers in low‐ and middle‐income countries. The review summarises findings from 75 reports, of which 22 (covering 26 contract farming interventions) were used for meta‐analysis.What are the main findings of this review?Contract farming may substantially increase farmer income with an average effect in the range of 23 to 54 per cent. There is upward bias in the estimate because of survivor bias in individual studies (no data on farmers who drop out of schemes) and in the body of evidence (no studies on contract farming arrangements that collapsed in their initial years), and publication bias in the literature (under‐reporting of insignificant outcomes). Therefore, some caution is needed in interpreting the findings.For farmers to give up their autonomy in marketing and prevent side‐selling, substantial income gains need to be offered. This is especially so for annual crops and when firms have contracts directly with farmers rather than through a cooperative.Poorer farmers are not usually part of contract farming schemes. In 61% of the cases, contract farmers had significantly larger landholdings or more assets than the average farmers in the region.What do the findings of this review mean?Contract farming covers a wide range of contractual arrangements. This heterogeneity makes it difcult to draw general conclusions from the literature published on this topic. The lack of studies on ‘failed treatments’ leads to an overestimation of the effectiveness of contract farming.Moreover, the analysis suggests a marked publication bias; all studies report on at least one case of contract farming that has a positive and statistical significant income effect.Relatively larger or richer farmers can cope better with these risks and are, therefore, more likely to take part in a contractual arrangement. This implies that contract farming is more suited to the relatively better‐off segment of the farming population.Further research should: (1) improve reporting of the intervention; (2) document the less‐successful instances of contract farming, and report inconclusive results (insignificant effects); and (3) capture other outcomes of contract farming such as (sector‐wide) innovation, and livelihood resilience.How up‐to‐date is this review?The review authors searched for studies published up to October 2015. This Campbell systematic review was published in December 2017.Executive summary/AbstractBackgroundContract farming is used by an increasing number of firms as a preferred modality to source products from smallholder farmers in low and middle‐income countries. Quality requirements of consumers, economies of scale in production or land ownership rights are common incentives for firms to offer contractual arrangements to farmers. Prices and access to key technology, key inputs or support services are the main incentives for farmers to enter into these contracts. There is great heterogeneity in contract farming, with differences in contracts, farmers, products, buyers, and institutional environments. The focus of this review lies on contract farming, defined as:“a contractual arrangement for a fixed term between a farmer and a firm, agreed verbally or in writing before production begins, which provides material or financial resources to the farmer and specifies one or more product or process requirements for agricultural production on land owned or controlled by the farmer, which gives the firm legal title to (most of) the crop or livestock” (Adapted from Prowse, 2012:12).The last decade shows a rapid increase in studies that use quasi‐experimental research designs to assess the effects of specific empirical instances of contract farming on smallholders. The objective of this systematic review was to distill generalised inferences from this rapidly growing body of evidence.ObjectivesThe review synthesised the studies in order to answer two questions:• Question 1: What is known about the effect size of contract farming on income and food security of smallholder farmers in low‐ and middle‐income countries?• Question 2: Under which enabling or limiting conditions are contract farming arrangements effective for improving income and food security of smallholdersSearch methodsA comprehensive electronic search was applied to Scopus, CAB Abstracts, Econlit, Web of Science, Tropag & Rural, and Agricola between 30 September and 21 October 2015. Snowballing the reference list in review articles and other repositories of research (e.g. worldwidescience.org, FAO, World Bank, Google Scholar) added more studies to the review. The search results were uploaded in EPPI Reviewer 4 and screened for relevance and the rigour of analysis of the effect estimates, in order to combine these results in a meta‐analysis of effectiveness. The main terms used to identify the pool of studies within which we expected to find studies that covered the effectiveness of contract farming arrangements were: contract farming, nucleus estate, cooperative, producer organisation, pre‐harvest agreement, value chain, farm‐firm, outgrower, and vertical integration.Selection criteriaEach study selected for the meta‐analysis was required to resolve the counterfactual, that is, to use a comparison group to mimic the expected situation of farmers not having a contract. When assessing net‐effects, the characteristics of groups with or without a contract needed to be fairly similar. Ideally, the only difference was the condition of having a contract or not. Because firms tend to offer contracts to farmers having certain characteristics and farmers self‐select when they accept or reject the offer, econometric methods are required to credibly assess the net‐effects of contract farming.To be included in the review, studies needed to analyse the impact of the intervention on income or food security of smallholder farmers. However, only one study was found with food security as an outcome variable (Bellemare & Novak, 2017); all other studies included focused on income effects. The review, therefore, has a focus on the income effects of contract farming and a meta‐analysis explored this outcome.Data collection and analysisThe electronic search retrieved 8,529 unique studies. After the full‐text screening, 195 studies were found to present research on contract farming. We excluded all papers that did not study the effectiveness of contract farming. The remaining set of papers was referred to as the core set and consisted of 75 studies that presented quantitative outcomes on smallholder farmers. Of the 75 studies in the core set, most did not meet the criteria for methodological and econometric rigour and had to be excluded from the meta‐analysis. The meta‐analysis was based on data from 22 studies, covering 28 empirical instances of contract farming, two of which had insufficient data to use in the meta‐analysis. The studies covered 7,471 respondents.ResultsWe applied meta‐analysis on the studies that reported income effects. Based on the significance levels and effect sizes, we showed that the set of studies selected for meta‐analysis suffered from publication bias. All studies reported at least one empirical instance with a statistically significant positive income effect. Test results suggested that studies with non‐significant effects of contract farming are likely to exist but are not reported in the academic literature. Studies also suffer from survivor bias. All studies are cross‐sectional studies that assess the effectiveness of the contractual arrangement at one moment in time, but only after the contractual arrangements had been in place for some years when these had already survived the start‐up problems. This implies that contractual arrangements that had ceased to function are absent in the literature. The publication and survivor bias detected in this review preclude strong conclusions on the income effects of contract farming arrangements.The one study that analysed effects on food security reported a positive result (the duration of the hungry season was 8% [95% confidence interval= 0%,15%] lower for farmers having a contract). The meta‐analysis of the 22 studies showed that the average income effect of participation in these contractual arrangement is highly heterogeneous. The (uncorrected) pooled average effect‐size on the proxy for income used in each study, computed in the meta‐analysis, indicated a 62 percent increase (95% confidence interval=40%, 87%) in income for contract farmers over incomes of non‐contract farmers. However, strong evidence for publication bias suggests that the true effect of contract farming is likely to be much lower, although still substantially higher than non‐contract farming. When we consider these studies representative for enduring contract farming arrangements in general, the pooled average income effect is estimated in 38% (95% confidence interval=23%, 54%).In almost two‐thirds of the studies, the contracted farmers proved to have significantly larger holdings or to be richer than the average farmers in the area. A plausible explanation for this phenomenon, as mentioned in the studies, is that there are lower transaction costs with increasing farm scale and the capacity of the better‐endowed farmers to bear the production and post‐harvest quality risks inherent to contract farming arrangements. In the four studies in which contract farmers had relatively smaller than average plot sizes, the income effects are relatively low.Authors’ conclusionsContract farming is a container concept that covers a wide range of contractual arrangements. This heterogeneity makes it difcult to draw general conclusions from the literature published on this topic. The studies have a marked publication bias. All studies report at least one case of contract farming that has a positive and statistical significant income effect. Moreover, due to limits inherent to the (cross‐sectional) study designs used in these investigations, the estimated effect size is upward biased. The lack of studies on ‘failed treatments’ leads to an overestimation of the effectiveness of contract farming.Nevertheless, the results of the meta‐analysis suggest that contract farming arrangements need to offer clear incentives to farmers in order to survive over time in the context of free entry and exit of farmers. We generated the hypothesis that relatively large positive effects on income may be a precondition for farmers to continue the contractual arrangements with the firm and give up their autonomy in marketing, production and quality control. High benefits are needed to keep an arrangement attractive and to prevent farmers from dropping out.Modest expectations and careful planning are needed for contract farming to be effective and sustainable. The practitioner‐oriented literature indicated the high risk of failure in the first years and stressed the need for adaptive management and mechanisms to settle disputes. Whereas it is unlikely that contract farming arrangements will on average result in the income effects that we derived from the meta‐analysis, it shows the need for substantial income effects for contract farming arrangements to survive over time. If farmers may opt out of a contract ‐ which was the case in all empirical instances covered by the studies except oil palm in Indonesia ‐ those contractual arrangements having low effects are likely to disappear or be amended, and negative effects on smallholder well‐being are unlikely.Contract farming is an institutional arrangement that may be attractive for farmers who want to get access to services or inputs that they cannot obtain in the traditional (spot) market, or reach markets that are more remunerative. Farmers who are able to enter a contract farming arrangement tend not to be the poorest farmers in their region. Both firms and farmers face risks of non‐compliance. Relatively larger or richer farmers can cope better with these risks and are, therefore, more likely to take part in a contractual arrangement. This implies that contract farming is more suited to the relatively better‐off segment of the farming population. For annual crops, a price premium seems to be a necessary component of the service package in order to result in high income effects for farmers, especially in situations where no cooperative is involved as an intermediary between the firm and the farmers.",2017,,Campbell Systematic Reviews,13,1,1-131,,https://doi.org/10.4073/csr.2017.13,,#5825,[ 2017,Exclusion reason: Does not focus on outcomes from a case study; ,
Smallholders' Preferences for Different Contract Farming Models: Empirical Evidence from Sustainable Certified Coffee Production in Vietnam,"[; '; A; n; h; ,;  ; N; H; B; o; k; e; l; m; a; W; T; u; g; D; M; i; V; ]","Contract farming is considered as institutional arrangements that manage the coordination of production and distribution between smallholder farmers and agro-industrial firms. Under the market reforms and industrialization process, contract farming links smallholder farmers to a better market through effective farming management and high-quality products. Despite the many benefits attributed to participation, the existing literature addresses the main issues that result in the opposing attitudes and motivations toward contract farming. This study therefore aims to analyze factors that influence the choices of smallholder farmers for different contract faming models using multinomial logistic (MNL) regression. Different contract attributes and socio-economic characteristics of farmer households are used as endogenous variables in the MNL model. Based on a research sample of 183 smallholder farmers involved in certified coffee production in Dak Lak province, Vietnam, the study revealed that there are different typologies of production contract including the informal model, intermediary model, and nucleus estate model. Significant factors that affect smallholders' preferences for different contract farming models are gender, farm size, the provision of inputs, price option, technical assistance, delivery schedule, and monitoring. Main issues that induce failures of contract farming are farmer's overdependence and the monopolistic power of industrial coffee firms in the nucleus estate model, as well as the information asymmetry in the informal model. In addition, a cost-benefit analysis symbolizes the role of the cooperative in the intermediary model, which is essential for augmenting win-win outcomes for smallholder farmers and industrial coffee firms.",2019,,SUSTAINABILITY,11,14,-,,10.3390/su11143799,,#5859,[ 2019,Exclusion reason: Only compares impacts from ancillary services from the value chain amongst participants; ,
Role of market participation on smallholder vegetable farmers' wellbeing: Evidence from matching approach in Eastern India,"[; '; D; e; y; ,;  ; S; i; n; g; h; P; K; ]","The study identifies determinants of vegetable farmers' market participation and evaluates their impact on households' welfare. In this study, we collected 175 cross-sectional household data and employed a probit regression model to identify the determinants of vegetable farmers' market participation. The study estimates the impact of market participation on households' income and per capita consumption using the propensity score matching approach (PSM). Subsequently, the study used the endogenous switch regression (ESR) model to control sample selection bias and unobserved heterogeneity. ESR also evaluates the robustness of PSM outcomes. Results from PSM and ESR approaches suggest that vegetable market participation positively and significantly impacts smallholders' income and consumption expenditure. The study rejects the null hypothesis that vegetable market participation does not significantly impact farmers' welfare. Results show that vegetable market participation increases the farmers' monthly income and annual per capita consumption expenditure on average by Indian rupee (INR) 8360 and INR 26,410, respectively. Findings also indicate that household size, distance to market, off-farm income, access to training, price information, vehicle ownership, and storage systems are critical determinants of vegetable farmers' market participation. Identified determinants may support policymakers in designing suitable agricultural marketing policies to reduce market entry barriers and motivate farmers for market participation. [EconLit Citations: Q13, D60].",,,AGRIBUSINESS,,,-,,10.1002/agr.21813,,#5893,,Exclusion reason: Does not focus on outcomes from a case study; ,
Factors influencing the level of vegetable value chain participation and implications on smallholder farmers in Swayimane KwaZulu-Natal,"[; '; N; d; l; o; v; u; ,;  ; P; T; h; a; m; g; -; C; i; t; j; J; M; O; ]","Governments in less developed countries have identified the need to support smallholder farmers and intervene to alleviate poverty and positively contribute to household food security. In Africa, there has been a growing emphasis on value chain development so that smallholder farmers can benefit from participation in agricultural value chains. Smallholder farmers are however still faced with constraints that negatively influence their participation decisions and the level of participation in agricultural value chains. This study, therefore, investigated the factors that influence the level of value chain participation and implications on smallholder farmers in KwaZulu-Natal, Swayimane area. Primary data was collected from farming households selected through a purposive sampling technique. The data were analyzed using descriptive analysis and the nehurdle model. Results from the nehurdle model showed that the age of the respondent, marital status, farm income, household size, cooperative, market information, radio, extension officer, and formal education significantly influenced the participation decisions of smallholder farmers in agricultural value chains. The results further showed that off-farm income, marital status, cooperatives, access to credit, access to irrigation scheme, radio, extension officer, contact with non-government organizations, and formal education significantly influenced the level of value chain participation of the smallholder farmers. It can be concluded that the level of endowment in the physical, financial, and human resources influence participation. Further, the farmer's connectivity with the external world outside the village improves the outcomes and level of success. It is recommended that a market-led approach to farmer development be adopted to improve the commercial prospects of farmers whilst bolstering food security.",2021,,Land Use Policy,109,,1-,,https://doi.org/10.1016/j.landusepol.2021.105611,,#5895,[ 2021,Exclusion reason: Does not focus on outcomes from a case study; ,
Welfare effects of small-scale farmers' participation in apple and mango value chains in Ethiopia,"[; '; M; o; s; i; e; ,;  ; G; r; z; g; h; A; y; a; l; w; Z; N; u; ]","This study examines the effects of participation in the fruit value chain on small-scale farmers' economic welfare in Ethiopia's Upper-Blue Nile Basin, focusing on apple and mango crops. This household economic welfare is measured by the consumption expenditure approach. Primary data were collected from a random sample of 384 households, 211 of which are fruit value chain participants and the rest are non-participants. The endogenous switching regression model was used to control for selection bias and unobserved heterogeneity. The study finds that the more apple and mango farmers join the value chain, the higher their consumption expenditure becomes. On average, the apple and mango value chain participation increased household consumption expenditure by about 17% and 18.5%, respectively. Overall, the results indicate a positive economic welfare effect of small-scale farmer participation. Hence, supporting small-scale farmers is imperative and a reasonable policy approach to improve their economic welfare in rural Ethiopia.",2021,,AGREKON,60,2,192-208,,10.1080/03031853.2021.1926298,,#5911,[ 2021,Exclusion reason: Does not focus on outcomes from a case study; ,
Food security effects of smallholders’ participation in apple and mango value chains in north-western Ethiopia,"[; '; M; o; s; i; e; ,;  ; n; g; t; G; r; z; h; A; l; m; d; y; a; w; Z; E; ]","BackgroundWhile it has identified that linking smallholders in the agri-food value chain remains to be a promising strategy to get out of the poverty trap in many developing countries, less is known about the food security implications of smallholders’ participation in the fruits value chain. This paper examines the effects of apple and mango smallholder farmers’ participation along the value chain, focusing on their household food security in north-western Ethiopia.MethodsPrimary data for the study were obtained from a random sample of 384 households, 211 of which are fruit value chain participants, and the remainder are non-participants. The study used the propensity score matching (PSM) method to establish a causal relationship between the participation of the fruit value chain and changes in household food security.Results and conclusionsResults indicate that participation in the apple and mango value chain has a robust and positive effect on the food security of smallholders as measured by household food consumption in kilocalorie. The unconfoundedness and overlapping assumptions were fulfilled by applying the nearest neighbor and kernel-based matching algorithms. The study confirms that the more apple and mango farmers join the value chain, the higher their household food intake becomes. Support for fruit farmers is, therefore, a promising policy approach that can help improve household food security in rural Ethiopia.",2021,,Agriculture & Food Security,10,1,-,,https://doi.org/10.1186/s40066-021-00310-z,,#5927,[ 2021,Exclusion reason: Does not focus on outcomes from a case study; ,
Agricultural value chain development in Nepal: Understanding mechanisms for poverty reduction,"[; '; K; a; f; l; e; ,;  ; S; o; n; g; s; r; m; w; T; W; i; t; P; ]","This analysis investigates the potential mechanisms and the practical significance of agricultural value chain development in a geographically challenging rural area of a developing country. Using data from a carefully designed primary survey administered in a hill and mountainous region in Western Nepal, we show that linking small-scale producers to regional and local traders can help increase income. Analysis of impact pathways shows that the positive impact on household income emerges through higher agricultural income, driven by higher sale volume at lower prices. Focusing on high value commodities in rural areas, where arable land is not always fully exploited or utilized, appears to lead to acreage expansion and some crop switching, contributing to higher supply albeit at lower prices. The positive impact on household income is practically significant; it helps improve household food security and asset accumulation. These findings are robust to alternative specifications. Targeted value chain interventions that strengthen and stabilize small-scale producers' access to markets can contribute to rural poverty reduction via increase in agricultural income.",2022,,AGRICULTURAL ECONOMICS,53,3,356-373,,10.1111/agec.12696,,#5952,[ 2022,Exclusion reason: Does not focus on outcomes from a case study; ,
Vegetable Business and Smallholders' Food Security: Empirical Findings from Northern Ethiopia,"[; '; G; e; b; r; u; ,;  ; K; M; L; n; g; R; a; m; l; t; C; Z; o; s; A; v; W; ]","In Ethiopia, there have been increased efforts to promote market-oriented vegetable production. Given that food security is a crucial issue in Ethiopia, the question is whether market-oriented vegetable production will actually help farmers to become more food secure. Using a mixed methods approach, the present research gathered empirical evidence on the determinants of participation in the vegetable business and its food security impacts in the Raya Azebo district. The Heckman two-stage selection model was used to identify factors affecting participation in the vegetable business and its effects on several food security outcomes. A thematic analysis was applied to the qualitative data. The results show that a farmer's participation in the vegetable business increased significantly with adequate household productive resources (e.g., land size and access to irrigation), cooperative memberships and access to extension services. On the other hand, the age of the head of household, the market distance and risk perceptions significantly decreased participation. Additionally, the results indicate participation in the vegetable business results not only in higher food availability and access but also in lower food variety and diet diversity scores. Participation has less of an impact on per capita kilocalorie consumption and child anthropometric measures of food security. The policy implication is that, while Ethiopia is going ahead with inclusive market-driven approaches to food security, alternative mechanisms must be put in place to address the negative impacts and to empower those living in the most vulnerable conditions.",2019,,SUSTAINABILITY,11,3,-,,10.3390/su11030743,,#5953,[ 2019,Exclusion reason: Does not focus on outcomes from a case study; ,
